comment_id,user_name,text_raw,source,like_counts,created_at
233,今天周6阿,您是疯了吗？,美国,2,24-11-10 04:38
234,八月小尾巴-,离婚！把黄的钱还给他！,广东,1,24-11-9 10:14
235,不要香菜ting,自我感觉良好，大男子主义，照照镜子吧,山东,3,24-11-9 00:07
236,Hitomi_允允子,虽然你是老板，但你是不是得学会尊重人啊,新疆,1,24-11-15 20:39
237,祝我幸福祝我幸福祝我幸福,直播都是有套路的 别人都是聊天轻轻松松带货主播 你每次给我感觉用力过猛,湖北,0,24-11-21 05:06
238,焰尾嘉兰,1,江苏,0,24-11-20 09:57
239,焰尾嘉兰,1,江苏,0,24-11-18 23:28
240,戏诡,👿👿,江西,0,24-11-18 18:26
241,焰尾嘉兰,是的,江苏,0,24-11-17 18:37
242,取名真的好烦啊烦啊啊啊,能不能创飞麦，能不能治治麦，感觉只有你可以了。,湖北,0,24-11-16 21:51
243,tewsettt,杨子一思考 上帝就发笑,浙江,2,24-11-13 21:46
244,棉棉的花骨朵,骂完取关,上海,1,24-11-13 20:23
245,旺崽小锄头,你好 我是来网暴你的 你上一边拉去吧！！,甘肃,4,24-11-14 19:54
246,月升时爱你,每期看都想来说，真的感觉是黄圣依成就了你，你却毁了黄圣依，耽误了她十几年的人生重要时期，而人生是没有回头路的，你欠的这些能用什么换？,山东,3,24-11-10 16:46
247,果果果丹皮儿,你是不是有毛病？你个自以为是的家伙！所有人都不理解你的行为！只有你自己还觉得你自己很厉害？你自己去看看别人怎么评价你的！麻烦你一个成年人好好学会照镜子吧？？吾日三省吾身！！你懂不懂,安徽,1,24-11-14 13:55
248,不叫青椒,放过黄圣依吧,云南,1,24-11-12 20:00
249,不争不抢不痛不痒,真的为了骂你一句还得关注你,辽宁,1,24-11-10 23:04
250,去吃泡芙耶,杨哥你有点可爱,上海,0,24-3小时前
251,柠檬鱼鱼zuz,什么恶心人的东西,广东,0,24-昨天 23:58
252,想把我嚼给你听,你真的好有意思，不尊重你的妻子，也不会尊重其他人，沉浸在自己的世界里面。不谈你是不是个好丈夫，只怕你连自己都做不明白,四川,0,24-昨天 23:34
253,回到透明,Loser,广东,0,24-昨天 23:27
254,am00000000n,你可以娶麦琳吗 求求🥺你了,韩国,0,24-昨天 22:37
